original,new_name,status,role
splash_screen_branded_1.png,00_splash_screen.png,keep,shared
role_selection_1.png,01_role_selection.png,keep,shared
sign_in_1.png,02_sign_in.png,keep,shared
sign_up_1.png,03_sign_up.png,keep,shared
complete_your_profile_1_1.png,,merge,shared
complete_your_profile_2_1.png,,merge,shared
client_home_hub_refined_flow_1.png,10_client_home.png,keep,client
explore_artisans_1.png,11_explore_artisans.png,keep,client
map_discovery_refined_flow_1.png,12_map_discovery.png,keep,both
artisan_profile_refined_flow_1.png,13_artisan_profile.png,keep,client
finding_an_artisan_1.png,14_finding_artisan.png,keep,client
post_a_job_category_1.png,20_job_post_category.png,keep,client
post_a_job_subcategory_1.png,21_job_post_subcategory.png,keep,client
post_a_job_title_1.png,22_job_post_title.png,keep,client
post_a_job_description_1.png,23_job_post_description.png,keep,client
post_a_job_location_1.png,24_job_post_location.png,keep,client
post_a_job_budget_urgency_1.png,25_job_post_urgency.png,keep,client
post_a_job_summary_1.png,26_job_post_summary.png,keep,client
booking_history_1.png,30_booking_history.png,keep,client
live_tracking_refined_flow_1.png,31_live_tracking.png,keep,client
rate_service_refined_flow_1.png,32_rate_service.png,keep,client
worker_dashboard_unified_navigation_1.png,40_worker_dashboard.png,keep,worker
job_request_detail_unified_navigation_1.png,41_job_request_detail.png,keep,worker
active_job_navigation_unified_navigation_1.png,42_active_job.png,keep,worker
work_completion_1.png,43_work_completion.png,keep,worker
messages_chat_list_1.png,50_messages_list.png,keep,both
active_chat_conversation_1.png,51_chat_detail.png,keep,both
user_profile_1.png,52_user_profile.png,keep,both
settings_info_1.png,53_settings.png,keep,both
splash_screen_light_mode_refined_1.png,,delete,shared
select_your_role_1.png,,delete,shared
role_selection_confirmation_1.png,,delete,shared
welcome_back_1.png,,delete,shared
join_artisans_1.png,,delete,shared
searching_for_artisan_refined_flow_1.png,,delete,shared
bookings_active_past_1.png,,delete,client
track_artisan_location_1.png,,delete,client
rate_your_experience_1.png,,delete,client
artisan_dashboard_1.png,,delete,worker
job_request_detail_1.png,,delete,worker
active_job_navigation_1.png,,delete,worker
work_completion_unified_navigation_1.png,,delete,worker
work_completion_unified_navigation_2_1.png,,delete,worker
onboarding_earn_as_an_artisan_branded_1.png,,delete,shared
onboarding_find_help_branded_1.png,,delete,shared
onboarding_post_jobs_1.png,,delete,shared
onboarding_track_progress_1.png,,delete,shared
